"振込日","加盟店番号（V/M）","店舗番号（AKR）","店舗名","取引年月日","決済ブランド","決済ブランド（カード番号下４桁）","支払区分","金額（円）","税区分","備考"
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","0149","一括","28028","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","6952","一括","55316","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","6330","一括","17028","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","4053","一括","15180","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","JCB","1758","一括","30800","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Mastercard(R)","0003","一括","19800","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","JCB","0663","一括","20944","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","American Express","1008","一括","21131","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","JCB","1015","一括","11451","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","4418","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","Visa","6085","一括","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-16","American Express","8077","一括","800","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","12760","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","14190","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1100","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1100","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1800","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","30","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","620","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1300","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","950","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","1200","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","950","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","QUICPay","8***","","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","Visa","1137","一括","12485","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","Visa","7290","一括","8877","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","Visa","1983","一括","20592","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-15","Visa","2418","一括","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","21406","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","14212","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","29568","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","26400","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","14751","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","PayPay","","一括","29413","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","QUICPay","7***","","9416","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","8618","一括","17270","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","8866","一括","19360","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","5433","一括","17512","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","JCB","2195","一括","25619","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","9698","一括","13618","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","5305","一括","12771","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","3136","一括","29821","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Visa","1333","一括","5137","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-14","Diners Club","9471","一括","14685","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","au PAY","","一括","14300","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","PayPay","","一括","16720","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","PayPay","","一括","5753","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","PayPay","","一括","17102","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","PayPay","","一括","61193","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","iD","8***","一括","15444","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","3255","一括","15576","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","5317","一括","30228","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","JCB","1377","一括","12314","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","7533","一括","26268","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","1799","一括","49284","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","JCB","1110","一括","7326","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","JCB","1002","一括","12452","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Mastercard(R)","9882","一括","37785","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Mastercard(R)","1066","一括","10538","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","7932","一括","17611","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Mastercard(R)","1034","一括","19712","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Mastercard(R)","7587","一括","6674","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","JCB","1024","一括","15301","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","9934","一括","16863","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-13","Visa","2156","一括","3146","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","14036","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","27500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","50655","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","14300","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","17259","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","12001","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","1000","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","650","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","PayPay","","一括","500","課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","QUICPay","2***","","650","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","QUICPay","2***","","500","非課税",""
"2025-12-25","045534248095","AKR5061995856","赤坂元気","2025-12-12","交通系電子マネー","4355","","650","課税",""
